mkb_codes;name;frequency_visits;controlled_indicators;duration_observation;note
I05, I06, I07, I08, I09;Хронические ревматические болезни сердца;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (индекс массы тела <2>), окружность талии, статус курения
артериальное давление <3>, частота сердечных сокращений <4> (согласно клиническим рекомендациям)
общетерапевтический биохимический анализ крови (с расчетом скорости клубочковой фильтрации <5>) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
пациентам при терапии варфарином - международное нормализованное отношение <6> (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам электрокардиограммы <7> (не реже 1 раз в год)
отсутствие признаков застоя в легких по данным рентгенографии органов грудной клетки (не реже 1 раз в год)
отсутствие признаков прогрессирования заболевания по результатам эхокардиограммы <8> - диаметр аорты (не реже 1 раза в год)
для пациентов с аневризмой грудной аорты (расширение любого отдела грудной аорты > 40 мм) - компьютерная томографическая ангиография <9> - через 6 мес. после постановки диагноза, далее при стабильном состоянии грудной аорты и ее максимальном диаметре 40 - 50 мм - ежегодно при наличии факторов риска (неконтролируемая артериальная гипертония, двустворчатый аортальный клапан, планируемая беременность, тяжелая аортальная, митральная регургитация, коарктация аорты, семейный анамнез аневризм, расслоений аорты, внезапной смерти, прогрессии расширения аорты > 3 мм/год, аневризма или расслоение любого другого артериального бассейна), а также при диаметре аорты 50 - 54 мм - не реже 2 раз в год с решением вопроса о хирургической (транскатетерной, гибридной) коррекции
пациентам после хирургической коррекции аорты и/или ее магистральных ветвей КТ-ангиография через 1, 6 и 12 мес. после вмешательства, далее - ежегодно";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при пороках сердца и крупных сосудов
I34, I35, I36, I37;Неревматические поражения митрального клапана, аортального клапана, трехстворчатого клапана, поражения клапана легочной артерии;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (индекс массы тела <2>), окружность талии, статус курения
артериальное давление <3>, частота сердечных сокращений <4> (согласно клиническим рекомендациям)
общетерапевтический биохимический анализ крови (с расчетом скорости клубочковой фильтрации <5>) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
пациентам при терапии варфарином - международное нормализованное отношение <6> (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам электрокардиограммы <7> (не реже 1 раз в год)
отсутствие признаков застоя в легких по данным рентгенографии органов грудной клетки (не реже 1 раз в год)
отсутствие признаков прогрессирования заболевания по результатам эхокардиограммы <8> - диаметр аорты (не реже 1 раза в год)
для пациентов с аневризмой грудной аорты (расширение любого отдела грудной аорты > 40 мм) - компьютерная томографическая ангиография <9> - через 6 мес. после постановки диагноза, далее при стабильном состоянии грудной аорты и ее максимальном диаметре 40 - 50 мм - ежегодно при наличии факторов риска (неконтролируемая артериальная гипертония, двустворчатый аортальный клапан, планируемая беременность, тяжелая аортальная, митральная регургитация, коарктация аорты, семейный анамнез аневризм, расслоений аорты, внезапной смерти, прогрессии расширения аорты > 3 мм/год, аневризма или расслоение любого другого артериального бассейна), а также при диаметре аорты 50 - 54 мм - не реже 2 раз в год с решением вопроса о хирургической (транскатетерной, гибридной) коррекции
пациентам после хирургической коррекции аорты и/или ее магистральных ветвей КТ-ангиография через 1, 6 и 12 мес. после вмешательства, далее - ежегодно";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при пороках сердца и крупных сосудов
I51.0, I51.1, I51.2;Дефект перегородки сердца приобретенный, разрыв сухожилий хорды, не классифицированный в других рубриках, разрыв сосочковой мышцы, не классифицированный в других рубриках;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (индекс массы тела <2>), окружность талии, статус курения
артериальное давление <3>, частота сердечных сокращений <4> (согласно клиническим рекомендациям)
общетерапевтический биохимический анализ крови (с расчетом скорости клубочковой фильтрации <5>) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
пациентам при терапии варфарином - международное нормализованное отношение <6> (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам электрокардиограммы <7> (не реже 1 раз в год)
отсутствие признаков застоя в легких по данным рентгенографии органов грудной клетки (не реже 1 раз в год)
отсутствие признаков прогрессирования заболевания по результатам эхокардиограммы <8> - диаметр аорты (не реже 1 раза в год)
для пациентов с аневризмой грудной аорты (расширение любого отдела грудной аорты > 40 мм) - компьютерная томографическая ангиография <9> - через 6 мес. после постановки диагноза, далее при стабильном состоянии грудной аорты и ее максимальном диаметре 40 - 50 мм - ежегодно при наличии факторов риска (неконтролируемая артериальная гипертония, двустворчатый аортальный клапан, планируемая беременность, тяжелая аортальная, митральная регургитация, коарктация аорты, семейный анамнез аневризм, расслоений аорты, внезапной смерти, прогрессии расширения аорты > 3 мм/год, аневризма или расслоение любого другого артериального бассейна), а также при диаметре аорты 50 - 54 мм - не реже 2 раз в год с решением вопроса о хирургической (транскатетерной, гибридной) коррекции
пациентам после хирургической коррекции аорты и/или ее магистральных ветвей КТ-ангиография через 1, 6 и 12 мес. после вмешательства, далее - ежегодно";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при пороках сердца и крупных сосудов
I71;Аневризма и расслоение аорты;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (индекс массы тела <2>), окружность талии, статус курения
артериальное давление <3>, частота сердечных сокращений <4> (согласно клиническим рекомендациям)
общетерапевтический биохимический анализ крови (с расчетом скорости клубочковой фильтрации <5>) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
пациентам при терапии варфарином - международное нормализованное отношение <6> (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам электрокардиограммы <7> (не реже 1 раз в год)
отсутствие признаков застоя в легких по данным рентгенографии органов грудной клетки (не реже 1 раз в год)
отсутствие признаков прогрессирования заболевания по результатам эхокардиограммы <8> - диаметр аорты (не реже 1 раза в год)
для пациентов с аневризмой грудной аорты (расширение любого отдела грудной аорты > 40 мм) - компьютерная томографическая ангиография <9> - через 6 мес. после постановки диагноза, далее при стабильном состоянии грудной аорты и ее максимальном диаметре 40 - 50 мм - ежегодно при наличии факторов риска (неконтролируемая артериальная гипертония, двустворчатый аортальный клапан, планируемая беременность, тяжелая аортальная, митральная регургитация, коарктация аорты, семейный анамнез аневризм, расслоений аорты, внезапной смерти, прогрессии расширения аорты > 3 мм/год, аневризма или расслоение любого другого артериального бассейна), а также при диаметре аорты 50 - 54 мм - не реже 2 раз в год с решением вопроса о хирургической (транскатетерной, гибридной) коррекции
пациентам после хирургической коррекции аорты и/или ее магистральных ветвей КТ-ангиография через 1, 6 и 12 мес. после вмешательства, далее - ежегодно";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при пороках сердца и крупных сосудов
Z95.2, Z95.3, Z95.4, Z95.8, Z95.9;Наличие протеза сердечного клапана, наличие ксеногенного сердечного клапана, наличие другого заменителя сердечного клапана, наличие других сердечных и сосудистых имплантатов и трансплантатов, наличие сердечного и сосудистого имплантата и трансплантата неуточненных;;"Вес (индекс массы тела <2>), окружность талии, статус курения
артериальное давление <3>, частота сердечных сокращений <4> (согласно клиническим рекомендациям)
общетерапевтический биохимический анализ крови (с расчетом скорости клубочковой фильтрации <5>) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
пациентам при терапии варфарином - международное нормализованное отношение <6> (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам электрокардиограммы <7> (не реже 1 раз в год)
отсутствие признаков застоя в легких по данным рентгенографии органов грудной клетки (не реже 1 раз в год)
отсутствие признаков прогрессирования заболевания по результатам эхокардиограммы <8> - диаметр аорты (не реже 1 раза в год)
для пациентов с аневризмой грудной аорты (расширение любого отдела грудной аорты > 40 мм) - компьютерная томографическая ангиография <9> - через 6 мес. после постановки диагноза, далее при стабильном состоянии грудной аорты и ее максимальном диаметре 40 - 50 мм - ежегодно при наличии факторов риска (неконтролируемая артериальная гипертония, двустворчатый аортальный клапан, планируемая беременность, тяжелая аортальная, митральная регургитация, коарктация аорты, семейный анамнез аневризм, расслоений аорты, внезапной смерти, прогрессии расширения аорты > 3 мм/год, аневризма или расслоение любого другого артериального бассейна), а также при диаметре аорты 50 - 54 мм - не реже 2 раз в год с решением вопроса о хирургической (транскатетерной, гибридной) коррекции
пациентам после хирургической коррекции аорты и/или ее магистральных ветвей КТ-ангиография через 1, 6 и 12 мес. после вмешательства, далее - ежегодно";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при пороках сердца и крупных сосудов
I10, I11, I12, I13, I14, I15;Болезни, характеризующиеся повышенным кровяным давлением;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
оценка домашнего мониторирования артериального давления и дневников с указанием доз принимаемых препаратов
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раз в год)
клинический анализ крови (не реже 1 раза в год)
холестерин-липопротеины низкой плотности <10> (не реже 2 раз в год)
альбуминурия в разовой порции мочи (не реже 2 раз в год)
ЭКГ (не реже 1 раза в год)
Рентгенография органов грудной клетки (не реже 1 раза в год)
ЭхоКГ (не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при артериальной гипертензии, резистентной к медикаментозной терапии и (или) в сочетании с сахарным диабетом и (или) хронической болезнью почек C4 и выше стадии
I20, I21, I22, I23, I24, I25;Ишемическая болезнь сердца;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раза в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
ЭхоКГ (не реже 1 раза в год)
пациентам после применения высокотехнологичных методов лечения на коронарных артериях - нагрузочное тестирование (не реже 1 раза в 2 года)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах: перенесенный инфаркт миокарда и его осложнения в первые 12 месяцев после установки диагноза, стенокардия напряжения III - IV функционального класса <11>, состояния после высокотехнологичных методов лечения на коронарных артериях (чрескожное коронарное вмешательство и аортокоронарное и (или) маммарокоронарное шунтирование) в первые 12 мес. после вмешательства, ишемическая болезнь сердца при неэффективности медикаментозной терапии (рефрактерные симптомы, недостижение целевых уровней АД, ЧСС, ХС-ЛПНП), ишемическая болезнь сердца при наличии сердечной недостаточности и (или) жизнеугрожающих нарушений ритма, ишемическая болезнь сердца в сочетании с сахарным диабетом и (или) хронической болезнью почек C4 и более стадии, при комбинированной антитромботической терапии, ишемическая болезнь сердца в сочетании с симптомным заболеванием периферических артерий и атеросклерозом другого сосудистого бассейна при назначении двойной антиагрегантной или комбинированной антитромботической терапии
Z95.1;Наличие аортокоронарного шунтового трансплантата;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раза в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
ЭхоКГ (не реже 1 раза в год)
пациентам после применения высокотехнологичных методов лечения на коронарных артериях - нагрузочное тестирование (не реже 1 раза в 2 года)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах: перенесенный инфаркт миокарда и его осложнения в первые 12 месяцев после установки диагноза, стенокардия напряжения III - IV функционального класса <11>, состояния после высокотехнологичных методов лечения на коронарных артериях (чрескожное коронарное вмешательство и аортокоронарное и (или) маммарокоронарное шунтирование) в первые 12 мес. после вмешательства, ишемическая болезнь сердца при неэффективности медикаментозной терапии (рефрактерные симптомы, недостижение целевых уровней АД, ЧСС, ХС-ЛПНП), ишемическая болезнь сердца при наличии сердечной недостаточности и (или) жизнеугрожающих нарушений ритма, ишемическая болезнь сердца в сочетании с сахарным диабетом и (или) хронической болезнью почек C4 и более стадии, при комбинированной антитромботической терапии, ишемическая болезнь сердца в сочетании с симптомным заболеванием периферических артерий и атеросклерозом другого сосудистого бассейна при назначении двойной антиагрегантной или комбинированной антитромботической терапии
Z95.5;Наличие коронарного ангиопластичного имплантата трансплантата;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раза в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
ЭхоКГ (не реже 1 раза в год)
пациентам после применения высокотехнологичных методов лечения на коронарных артериях - нагрузочное тестирование (не реже 1 раза в 2 года)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах: перенесенный инфаркт миокарда и его осложнения в первые 12 месяцев после установки диагноза, стенокардия напряжения III - IV функционального класса <11>, состояния после высокотехнологичных методов лечения на коронарных артериях (чрескожное коронарное вмешательство и аортокоронарное и (или) маммарокоронарное шунтирование) в первые 12 мес. после вмешательства, ишемическая болезнь сердца при неэффективности медикаментозной терапии (рефрактерные симптомы, недостижение целевых уровней АД, ЧСС, ХС-ЛПНП), ишемическая болезнь сердца при наличии сердечной недостаточности и (или) жизнеугрожающих нарушений ритма, ишемическая болезнь сердца в сочетании с сахарным диабетом и (или) хронической болезнью почек C4 и более стадии, при комбинированной антитромботической терапии, ишемическая болезнь сердца в сочетании с симптомным заболеванием периферических артерий и атеросклерозом другого сосудистого бассейна при назначении двойной антиагрегантной или комбинированной антитромботической терапии
I26;Легочная эмболия;В соответствии с клиническими рекомендациями, но не реже 4 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
пациентам при терапии варфарином - МНО (не реже 4 раз в год)
ЭКГ (не реже 1 раз в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
ЭхоКГ (не реже 2 раз в год)";12 месяцев;Диспансерное наблюдение врачом-кардиологом осуществляется при тромбоэмболии легочной артерии - в течение 12 месяцев после оказания медицинской помощи в стационарных условиях
I27.0;Первичная легочная гипертензия;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Статус курения
АД, ЧСС, пульсоксиметрия в покое
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
уровень N-концевого пропептида натрийуретического гормона (B-типа) <12> (не реже 1 раза в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раз в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
тест 6-минутной ходьбы (не реже 1 раза в год)
ЭхоКГ (не реже 1 раза в год)
эргоспирометрия (не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при тромбоэмболии легочной артерии - в течение 12 месяцев после оказания медицинской помощи в стационарных условиях
I28;Другие болезни легочных сосудов с их соответствующим описанием;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Статус курения
АД, ЧСС, пульсоксиметрия в покое
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
уровень N-концевого пропептида натрийуретического гормона (B-типа) <12> (не реже 1 раза в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раз в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
тест 6-минутной ходьбы (не реже 1 раза в год)
ЭхоКГ (не реже 1 раза в год)
эргоспирометрия (не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при тромбоэмболии легочной артерии - в течение 12 месяцев после оказания медицинской помощи в стационарных условиях
I27.2;Другая вторичная легочная гипертензия;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Статус курения
АД, ЧСС, пульсоксиметрия в покое
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
уровень N-концевого пропептида натрийуретического гормона (B-типа) <12> (не реже 1 раза в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раз в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
тест 6-минутной ходьбы (не реже 1 раза в год)
ЭхоКГ (не реже 1 раза в год)
эргоспирометрия (не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при тромбоэмболии легочной артерии - в течение 12 месяцев после оказания медицинской помощи в стационарных условиях
I27.8;Другие уточненные формы легочно-сердечной недостаточности;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Статус курения
АД, ЧСС, пульсоксиметрия в покое
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
уровень N-концевого пропептида натрийуретического гормона (B-типа) <12> (не реже 1 раза в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раз в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
тест 6-минутной ходьбы (не реже 1 раза в год)
ЭхоКГ (не реже 1 раза в год)
эргоспирометрия (не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при тромбоэмболии легочной артерии - в течение 12 месяцев после оказания медицинской помощи в стационарных условиях
I33;Острый и подострый эндокардит;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ и определением уровня C-реактивного белка <13>) (не реже 2 раз в год)
клинический анализ крови (не реже 2 раз в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раза в год)
Рентгенография органов грудной клетки (не реже 1 раза в год)
ЭхоКГ (не реже 1 раза в год)";12 месяцев после выздоровления;Диспансерное наблюдение врачом-кардиологом осуществляется при перенесенном инфекционном эндокардите
I38 , I39;Эндокардит, клапан не уточнен, эндокардит и поражения клапанов сердца при болезнях, классифицированных в других рубриках;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ и определением уровня C-реактивного белка <13>) (не реже 2 раз в год)
клинический анализ крови (не реже 2 раз в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раза в год)
Рентгенография органов грудной клетки (не реже 1 раза в год)
ЭхоКГ (не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при перенесенном инфекционном эндокардите
I40;Острый миокардит;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год
ежемесячно - на фоне иммуносупрессивной терапии)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раз в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
ЭхоКГ (не реже 2 раз в год)
СРБ и NT-proBNP - при наличии признаков прогрессии заболевания.";12 месяцев после выздоровления;Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах: перенесенный острый миокардит, подострый, хронический активный миокардит
I41;Миокардит при болезнях, классифицированных в других рубриках;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год
ежемесячно - на фоне иммуносупрессивной терапии)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раз в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
ЭхоКГ (не реже 2 раз в год)
СРБ и NT-proBNP - при наличии признаков прогрессии заболевания.";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах: перенесенный острый миокардит, подострый, хронический активный миокардит
I51.4;Миокардит неуточненный;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год
ежемесячно - на фоне иммуносупрессивной терапии)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 1 раз в год)
Рентгенография органов грудной клетки (не реже 1 раз в год)
ЭхоКГ (не реже 2 раз в год)
СРБ и NT-proBNP - при наличии признаков прогрессии заболевания.";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах: перенесенный острый миокардит, подострый, хронический активный миокардит
I42;Кардиомиопатия;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 2 раз в год)
рентгенография органов грудной клетки (не реже 1 раз в год)
ЭхоКГ (не реже 2 раз в год)
мониторирование ЭКГ (не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах: перенесенный острый миокардит, подострый, хронический активный миокардит
I44, I45, I46, I47, I48, I49;Предсердно-желудочковая [атриовентрикулярная] блокада и блокада левой ножки пучка [Гиса], другие нарушения проводимости, остановка сердца, пароксизмальная тахикардия, фибрилляция и трепетание предсердий, другие нарушения сердечного ритма;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 2 раз в год)
рентгенография органов грудной клетки (не реже 1 раз в год)
ЭхоКГ (не реже 1 раза в год)
мониторирование ЭКГ (не реже 1 раза в год)
тестирование работы имплантируемого электронного устройства (1 раз в течение 6 мес. после имплантации, далее - не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах: жизнеугрожающие формы нарушений сердечного ритма и проводимости, пароксизмальная тахикардия, фибрилляция и трепетание предсердий в сочетании с сахарным диабетом и (или) хронической болезнью почек C4 и выше стадии и (или) высоким риском кровотечений в связи с другими заболеваниями и (или) состояниями, наличие имплантируемого электронного устройства, катетерная аблация по поводу сердечно-сосудистых заболеваний
